,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,completed sets,packs,simulations
134,1.0,1.0,,3.0,3.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,,0.75,4.0,500.0
135,,,3.0,1.0,4.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,,,0.6666666666666666,4.0,500.0
136,,,2.0,,4.0,,,,,2.0,1.0,2.0,2.0,,2.0,2.0,1.0,2.0,,,,2.0,2.0,,0.5,4.0,500.0
137,,1.0,1.0,,2.0,,2.0,,2.0,1.0,2.0,,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.7083333333333334,4.0,500.0
138,,3.0,1.0,3.0,,2.0,1.0,1.0,,2.0,,,,,,,3.0,2.0,1.0,2.0,1.0,1.0,1.0,,0.5833333333333334,4.0,500.0
139,,,,,,3.0,1.0,1.0,2.0,2.0,,,1.0,,2.0,,1.0,2.0,2.0,4.0,1.0,,1.0,1.0,0.5833333333333334,4.0,500.0
140,,,,1.0,3.0,,1.0,,2.0,2.0,,3.0,1.0,1.0,,,1.0,,1.0,4.0,,3.0,1.0,,0.5416666666666666,4.0,500.0
141,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,3.0,3.0,,2.0,,,0.6666666666666666,4.0,500.0
142,,1.0,,,2.0,,,2.0,3.0,1.0,,2.0,4.0,3.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,0.5833333333333334,4.0,500.0
143,1.0,,1.0,1.0,,1.0,,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,0.75,4.0,500.0
144,,,2.0,1.0,2.0,2.0,,2.0,,,1.0,3.0,2.0,2.0,1.0,,1.0,1.0,,1.0,1.0,2.0,,,0.625,4.0,500.0
145,1.0,,1.0,3.0,1.0,2.0,,1.0,3.0,,3.0,2.0,2.0,1.0,,,,,1.0,,,,2.0,1.0,0.5833333333333334,4.0,500.0
146,1.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,,,2.0,1.0,1.0,1.0,3.0,,1.0,2.0,2.0,2.0,1.0,0.7083333333333334,4.0,500.0
147,1.0,,2.0,1.0,2.0,,,1.0,2.0,2.0,,1.0,1.0,2.0,2.0,2.0,2.0,,,,1.0,,2.0,,0.625,4.0,500.0
148,,,,1.0,,,2.0,1.0,1.0,3.0,2.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,1.0,3.0,3.0,,0.625,4.0,500.0
149,1.0,,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,3.0,1.0,,2.0,1.0,,,1.0,,3.0,,,2.0,,0.625,4.0,500.0
150,,,,3.0,2.0,2.0,,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,3.0,,1.0,,,,1.0,,,0.5416666666666666,4.0,500.0
151,2.0,1.0,1.0,1.0,2.0,,,2.0,2.0,2.0,1.0,,,,1.0,1.0,2.0,3.0,1.0,,1.0,1.0,,,0.6666666666666666,4.0,500.0
152,,,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,2.0,,3.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,2.0,0.7083333333333334,4.0,500.0
153,,1.0,,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,,1.0,,,2.0,,1.0,1.0,1.0,,0.7083333333333334,4.0,500.0
154,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,4.0,,1.0,,1.0,,2.0,,1.0,2.0,3.0,1.0,1.0,,,0.7083333333333334,4.0,500.0
155,,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,2.0,,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,,1.0,2.0,,,0.7083333333333334,4.0,500.0
